,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,29,3,0,1,0,0,0,0,0,1,1,0,3,1,0,0,2,0,1,0,0,0,2,0,1,0
2,0,0,36,0,0,1,0,0,2,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,1,0
3,0,1,0,30,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,5,0,1,2,0,0
4,0,3,0,0,33,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,1,0,0
5,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,39,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0
7,0,0,0,0,4,0,0,37,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
8,0,0,0,0,0,2,0,0,37,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0
9,2,0,1,0,0,7,0,0,1,25,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,2
10,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
11,0,2,1,1,0,1,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0
12,0,0,1,0,0,3,0,0,3,1,1,0,33,0,0,0,2,0,0,1,0,0,0,0,0,0,0
13,0,2,0,0,0,1,0,0,1,0,0,0,0,38,1,1,0,0,0,0,0,0,0,1,0,0,0
14,0,2,0,0,0,0,0,0,1,1,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,2
15,0,0,0,0,0,1,1,0,0,1,2,0,0,1,0,35,2,2,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,39,1,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,3,22,1,0,0,0,0,0,0,1
19,0,0,0,0,0,0,0,1,0,1,8,0,0,0,1,0,0,2,0,31,0,0,0,0,0,0,0
20,0,0,0,2,0,2,0,0,1,1,0,1,0,0,0,0,1,0,2,0,16,1,6,0,0,0,0
21,0,1,0,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,2,33,0,0,0,1,0
22,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,6,0,15,1,1,1,2
23,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,38,2,0,0
24,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,41,1,0
25,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,38,0
26,0,0,0,0,1,1,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,36
