k= 15, distance function is chi square and test accuracy is 0.7548500881834215
Labels 	 Accuracy 
0	0.9333333333333333
1	0.725
2	0.8571428571428571
3	0.8108108108108109
4	0.7857142857142857
5	0.49230769230769234
6	0.8125
7	0.8222222222222222
8	0.7708333333333334
9	0.6578947368421053
10	0.7017543859649122
11	0.8
12	0.868421052631579
13	0.8444444444444444
14	0.8275862068965517
15	0.7954545454545454
16	0.5675675675675675
17	0.639344262295082
18	0.7857142857142857
19	0.775
20	0.6666666666666666
21	0.7857142857142857
22	0.6818181818181818
23	0.7450980392156863
24	0.7454545454545455
25	0.8085106382978723
26	0.8181818181818182
